Paweł,Nowak1,s459,02.12.2001,Informatyka dzienne,Dzienne,1@pjwstk.edu.pl,Alina,Adam
Kaja,Jankowski29,s4816,02.12.2000,Sztuka Nowych Medi?w dzienne,Dzienne,29@pjwstk.edu.pl,Alina,Adam
Justyna,Kowalski30,s4749,02.12.2000,Sztuka Nowych Medi?w dzienne,Dzienne,30@pjwstk.edu.pl,Alina,Adam
Micha?,Nowak31,s4432,02.12.2000,Sztuka Nowych Medi?w dzienne,Dzienne,31@pjwstk.edu.pl,Alina,Adam
Kamil,Brz?czyszczykiewicz32,s4757,02.12.2000,Sztuka Nowych Medi?w dzienne,Dzienne,32@pjwstk.edu.pl,Alina,Adam
Marta,Maciejewski33,s4655,02.12.2000,Sztuka Nowych Medi?w dzienne,Dzienne,33@pjwstk.edu.pl,Alina,Adam
Szymon,Jankowski34,s4398,02.12.2000,Sztuka Nowych Medi?w dzienne,Dzienne,34@pjwstk.edu.pl,Alina,Adam
Joanna,Brz?czyszczykiewicz37,s4799,02.12.2000,Sztuka Nowych Medi?w dzienne,Dzienne,37@pjwstk.edu.pl,Alina,Adam
Irena,Maciejewski38,s4626,02.12.2000,Sztuka Nowych Medi?w dzienne,Dzienne,38@pjwstk.edu.pl,Alina,Adam
Adam,Jankowski39,s4446,02.12.2000,Sztuka Nowych Medi?w dzienne,Dzienne,39@pjwstk.edu.pl,Alina,Adam
Kacper,Kowalski40,s4396,02.12.2000,Sztuka Nowych Medi?w dzienne,Dzienne,40@pjwstk.edu.pl,Alina,Adam
Pawe?,Nowak41,s4902,02.12.2000,Sztuka Nowych Medi?w dzienne,Dzienne,41@pjwstk.edu.pl,Alina,Adam
Aleksandra,Brz?czyszczykiewicz42,s4434,02.12.2000,Sztuka Nowych Medi?w zaoczne,Zaoczne,42@pjwstk.edu.pl,Alina,Adam
Katarzyna,Maciejewski43,s4517,02.12.2000,Sztuka Nowych Medi?w dzienne,Dzienne,43@pjwstk.edu.pl,Alina,Adam
Grzegorz,Jankowski44,s4705,02.12.2000,Sztuka Nowych Medi?w dzienne,Dzienne,44@pjwstk.edu.pl,Alina,Adam
Adrian,Kowalski45,s4661,02.12.2000,Sztuka Nowych Medi?w dzienne,Dzienne,45@pjwstk.edu.pl,Alina,Adam
Jan,Nowak46,s4842,02.12.2000,Sztuka Nowych Medi?w dzienne,Dzienne,46@pjwstk.edu.pl,Alina,Adam
Jakub,Brz?czyszczykiewicz47,s4709,02.12.2000,Sztuka Nowych Medi?w dzienne,Dzienne,47@pjwstk.edu.pl,Alina,Adam
Iga,Maciejewski48,s4792,02.12.2000,Sztuka Nowych Medi?w dzienne,Dzienne,48@pjwstk.edu.pl,Alina,Adam
Jakub,Jankowski49,s4789,02.12.2000,Sztuka Nowych Medi?w dzienne,Dzienne,49@pjwstk.edu.pl,Alina,Adam
Maria,Kowalski50,s4708,02.12.2000,Sztuka Nowych Medi?w dzienne,Dzienne,50@pjwstk.edu.pl,Alina,Adam
Artur,Nowak51,s4404,02.12.2000,Sztuka Nowych Medi?w dzienne,Dzienne,51@pjwstk.edu.pl,Alina,Adam
Sabina,Brz?czyszczykiewicz52,s4513,02.12.2000,Sztuka Nowych Medi?w dzienne,Dzienne,52@pjwstk.edu.pl,Alina,Adam
?ukasz,Maciejewski53,s4442,02.12.2000,Sztuka Nowych Medi?w dzienne,Dzienne,53@pjwstk.edu.pl,Alina,Adam
Marcin,Jankowski54,s4732,02.12.2000,Sztuka Nowych Medi?w dzienne,Dzienne,54@pjwstk.edu.pl,Alina,Adam
Rafa?,Kowalski55,s4506,02.12.2000,Sztuka Nowych Medi?w dzienne,Dzienne,55@pjwstk.edu.pl,Alina,Adam
Jan,Nowak56,s4649,02.12.2000,Sztuka Nowych Medi?w dzienne,Dzienne,56@pjwstk.edu.pl,Alina,Adam
